days_since_infection,median,lower_95,upper_95
0,0.00492372219869386,0.000400019766521666,0.0199771567567591
0.1,0.00613474984212307,0.000529889752367687,0.0237458247653281
0.2,0.00760506053990249,0.000689322293524513,0.0289895316425472
0.3,0.00936690078727152,0.00091224300588773,0.0348878565866055
0.4,0.0115654988535476,0.00116603951193986,0.0426076747263141
0.5,0.0143059591774984,0.00153562422550745,0.0529107959204466
0.6,0.0176253385360862,0.00202422746887796,0.0659615763639303
0.7,0.021493296865411,0.00262085956465973,0.0825766326827498
0.8,0.0262523265021714,0.00331921877574477,0.101908357151168
0.9,0.0322974514523075,0.00423466596690044,0.128245757958866
1,0.0394891819013487,0.00538216270851064,0.161006439940409
1.1,0.0480881826947001,0.00694560097745626,0.201692017228005
1.2,0.0583317616099798,0.00856363718721062,0.24855578411534
1.3,0.0707183448480795,0.010927768081439,0.306594144654544
1.4,0.0854461208249704,0.013723675738956,0.371290357770544
1.5,0.102877062859673,0.017360477959371,0.440556270263427
1.6,0.122977450588139,0.0213467097306648,0.51434288033859
1.7,0.146139495574283,0.0263539501108569,0.58603643611128
1.8,0.175768425074937,0.0325481294007684,0.658081116897997
1.9,0.208332994777495,0.0400344604197024,0.719882551264335
2,0.246031303565853,0.0482901877373816,0.766401013800361
2.1,0.286009767231018,0.0571148947826654,0.801879386902917
2.2,0.332271486084429,0.0684895471399104,0.817780782719572
2.3,0.380926586815447,0.0816197139488709,0.838032467419771
2.4,0.432827295193142,0.0973420043948203,0.850117496464581
2.5,0.484039623704156,0.114930401919604,0.861698207472641
2.6,0.536342089711529,0.132335237619131,0.868710532935968
2.7,0.588000239980068,0.154978850495312,0.873165775803591
2.8,0.637498045528647,0.175972732725332,0.876334587928872
2.9,0.678072576116872,0.199548591118014,0.880254732058374
3,0.709949738327594,0.226120507378412,0.880994138761953
3.1,0.732091734520878,0.254620528892953,0.88231912183584
3.2,0.746775183283953,0.284505268442872,0.884038295615645
3.3,0.759691787098504,0.315430110367654,0.88602494424567
3.4,0.766975880624599,0.351143677765224,0.887638654341936
3.5,0.773493465783058,0.385392476886264,0.889725386747175
3.6,0.777790408609595,0.417404517405391,0.890416260067014
3.7,0.780772501616958,0.457846333975837,0.88973872237259
3.8,0.78260372322846,0.492431289847944,0.890170118021
3.9,0.784678642670435,0.525077372152305,0.890734553251472
4,0.785391946437697,0.558966250009748,0.89202465682225
4.1,0.785249118696045,0.582643835740802,0.893339292254013
4.2,0.785320785247073,0.602030080195665,0.893635768125918
4.3,0.78419241838106,0.610755325649511,0.891702886132929
4.4,0.782532974658179,0.621188339163467,0.8922345812515
4.5,0.780731871769778,0.624538795070343,0.891548081488763
4.6,0.778598658808128,0.623161753544203,0.889946076220294
4.7,0.776171644080254,0.622167035176269,0.887836756678832
